"","date","country","count"
"213",2020-01-29,"US",510
"214",2020-01-30,"US",618
"215",2020-01-31,"US",676
"216",2020-02-01,"US",604
"217",2020-02-02,"US",572
"218",2020-02-03,"US",690
"219",2020-02-04,"US",689
"220",2020-02-05,"US",642
"221",2020-02-06,"US",580
"222",2020-02-07,"US",602
"223",2020-02-08,"US",573
"224",2020-02-09,"US",425
"225",2020-02-10,"US",657
"226",2020-02-11,"US",716
"227",2020-02-12,"US",650
"228",2020-02-13,"US",655
"229",2020-02-14,"US",551
"230",2020-02-15,"US",402
"231",2020-02-16,"US",341
"232",2020-02-17,"US",574
"233",2020-02-18,"US",713
"234",2020-02-19,"US",656
"235",2020-02-20,"US",621
"236",2020-02-21,"US",647
"237",2020-02-22,"US",377
"238",2020-02-23,"US",297
"239",2020-02-24,"US",757
"240",2020-02-25,"US",1120
"241",2020-02-26,"US",1397
"242",2020-02-27,"US",1808
"243",2020-02-28,"US",1174
"244",2020-02-29,"US",927
"245",2020-03-01,"US",955
"246",2020-03-02,"US",1453
"247",2020-03-03,"US",1661
"248",2020-03-04,"US",1741
"249",2020-03-05,"US",1889
"250",2020-03-06,"US",1954
"251",2020-03-07,"US",1445
"252",2020-03-08,"US",1354
"253",2020-03-09,"US",2162
"254",2020-03-10,"US",2699
"255",2020-03-11,"US",3195
"256",2020-03-12,"US",5566
"257",2020-03-13,"US",5522
"258",2020-03-14,"US",3633
"259",2020-03-15,"US",3422
"260",2020-03-16,"US",6648
"261",2020-03-17,"US",7615
"262",2020-03-18,"US",7929
"263",2020-03-19,"US",7392
"264",2020-03-20,"US",7029
"265",2020-03-21,"US",4795
"266",2020-03-22,"US",4375
"267",2020-03-23,"US",7071
"268",2020-03-24,"US",6953
"269",2020-03-25,"US",8095
"270",2020-03-26,"US",9136
"271",2020-03-27,"US",8920
"272",2020-03-28,"US",5914
"273",2020-03-29,"US",5993
"274",2020-03-30,"US",8529
"275",2020-03-31,"US",8366
"276",2020-04-01,"US",10643
"277",2020-04-02,"US",9974
"278",2020-04-03,"US",9312
"279",2020-04-04,"US",6192
"280",2020-04-05,"US",5559
"281",2020-04-06,"US",7723
"282",2020-04-07,"US",8821
"283",2020-04-08,"US",9547
"284",2020-04-09,"US",8976
"285",2020-04-10,"US",7841
"286",2020-04-11,"US",6293
"287",2020-04-12,"US",5400
"288",2020-04-13,"US",7816
"289",2020-04-14,"US",9829
"290",2020-04-15,"US",10766
"291",2020-04-16,"US",10014
"292",2020-04-17,"US",9106
"293",2020-04-18,"US",6459
"294",2020-04-19,"US",5641
"295",2020-04-20,"US",7765
"296",2020-04-21,"US",9956
"297",2020-04-22,"US",9609
"298",2020-04-23,"US",9264
"299",2020-04-24,"US",9216
"300",2020-04-25,"US",5265
"301",2020-04-26,"US",5242
"302",2020-04-27,"US",8435
"303",2020-04-28,"US",8649
"304",2020-04-29,"US",9794
"305",2020-04-30,"US",7708
